airline_name,max_delay_min
"Alaska Airlines Inc.: AS",361
"Virgin America: VX",434
"Mesa Airlines Inc.: YV",455
"JetBlue Airways: B6",505
"Endeavor Air Inc.: 9E",534
"SkyWest Airlines Inc.: OO",535
"Frontier Airlines Inc.: F9",538
"Southwest Airlines Co.: WN",568
"United Air Lines Inc.: UA",594
"ExpressJet Airlines LLC: EV",653
"Hawaiian Airlines Inc.: HA",657
"US Airways Inc.: US (Merged with America West 9/05. Reporting for both starting 10/07.)",663
"AirTran Airways Corporation: FL",1113
"Delta Air Lines Inc.: DL",1153
"Envoy Air: MQ",1335
"American Airlines Inc.: AA",1513
