airline_name_by_early_dep_desc
"Alaska Airlines Inc.: AS"
"ExpressJet Airlines LLC: EV"
"SkyWest Airlines Inc.: OO"
"Frontier Airlines Inc.: F9"
"Envoy Air: MQ"
"American Airlines Inc.: AA"
"JetBlue Airways: B6"
"Endeavor Air Inc.: 9E"
"Mesa Airlines Inc.: YV"
"Hawaiian Airlines Inc.: HA"
"US Airways Inc.: US (Merged with America West 9/05. Reporting for both starting 10/07.)"
"Delta Air Lines Inc.: DL"
"AirTran Airways Corporation: FL"
"United Air Lines Inc.: UA"
"Virgin America: VX"
"Southwest Airlines Co.: WN"
