airline_name,airport_name,max_avg_delay_min
"Hawaiian Airlines Inc.: HA","Pago Pago, TT: Pago Pago International",79
"Endeavor Air Inc.: 9E","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",70.33333333333333
"Mesa Airlines Inc.: YV","Kona, HI: Ellison Onizuka Kona International at Keahole",60.235897435897435
"Envoy Air: MQ","Harrisburg, PA: Harrisburg International",43.07954545454545
"JetBlue Airways: B6","Martha's Vineyard, MA: Martha's Vineyard Airport",40.416666666666664
"Frontier Airlines Inc.: F9","Newport News/Williamsburg, VA: Newport News/Williamsburg International",39.76470588235294
"ExpressJet Airlines LLC: EV","Colorado Springs, CO: City of Colorado Springs Municipal",37.614285714285714
"United Air Lines Inc.: UA","St. Louis, MO: St Louis Lambert International",36.666666666666664
"SkyWest Airlines Inc.: OO","North Bend/Coos Bay, OR: Southwest Oregon Regional",33.24193548387097
"American Airlines Inc.: AA","Cleveland, OH: Cleveland-Hopkins International",28.943181818181817
"Delta Air Lines Inc.: DL","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",25.517241379310345
"Virgin America: VX","New York, NY: John F. Kennedy International",21.919354838709676
"AirTran Airways Corporation: FL","New York, NY: LaGuardia",21.587692307692308
"Southwest Airlines Co.: WN","Washington, DC: Ronald Reagan Washington National",20.387096774193548
"Alaska Airlines Inc.: AS","Chicago, IL: Chicago O'Hare International",16.313333333333333
"US Airways Inc.: US (Merged with America West 9/05. Reporting for both starting 10/07.)","Albany, NY: Albany International",15.065573770491802
