airport_name,Reason,num_cancel
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,376
"Chicago, IL: Chicago O'Hare International","National Air System",339
"Newark, NJ: Newark Liberty International","National Air System",193
"New York, NY: LaGuardia","National Air System",107
"Los Angeles, CA: Los Angeles International",Carrier,95
"Honolulu, HI: Daniel K Inouye International",Carrier,87
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,74
"Houston, TX: George Bush Intercontinental/Houston",Weather,68
"San Francisco, CA: San Francisco International",Carrier,67
"Denver, CO: Denver International",Carrier,59
"Charlotte, NC: Charlotte Douglas International",Carrier,58
"Detroit, MI: Detroit Metro Wayne County","National Air System",47
"Detroit, MI: Detroit Metro Wayne County",Carrier,47
"Washington, DC: Ronald Reagan Washington National","National Air System",46
"New York, NY: John F. Kennedy International",Carrier,45
"Washington, DC: Washington Dulles International","National Air System",44
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,40
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,40
"Las Vegas, NV: McCarran International",Carrier,39
"San Diego, CA: San Diego International",Carrier,39
"Philadelphia, PA: Philadelphia International",Carrier,37
"Nashville, TN: Nashville International","National Air System",33
"Minneapolis, MN: Minneapolis-St Paul International",Weather,32
"Minneapolis, MN: Minneapolis-St Paul International",Carrier,32
"Oakland, CA: Metropolitan Oakland International",Carrier,30
"Cincinnati, OH: Cincinnati/Northern Kentucky International","National Air System",29
"Oklahoma City, OK: Will Rogers World",Weather,29
"Corpus Christi, TX: Corpus Christi International",Carrier,28
"Boston, MA: Logan International",Carrier,27
"Raleigh/Durham, NC: Raleigh-Durham International","National Air System",27
"St. Louis, MO: St Louis Lambert International",Weather,27
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,25
"Kahului, HI: Kahului Airport",Carrier,24
"Houston, TX: William P Hobby",Carrier,23
"Lihue, HI: Lihue Airport",Carrier,22
"Dallas, TX: Dallas Love Field",Carrier,21
"Kansas City, MO: Kansas City International","National Air System",21
"Fayetteville, AR: Northwest Arkansas Regional",Weather,20
"Memphis, TN: Memphis International",Carrier,20
"Miami, FL: Miami International",Weather,20
"Pittsburgh, PA: Pittsburgh International",Carrier,20
"Burbank, CA: Bob Hope",Carrier,19
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,19
"Chicago, IL: Chicago Midway International",Carrier,18
"Seattle, WA: Seattle/Tacoma International",Carrier,17
"Milwaukee, WI: General Mitchell International",Carrier,16
"Shreveport, LA: Shreveport Regional",Carrier,16
"San Antonio, TX: San Antonio International",Weather,15
"Austin, TX: Austin - Bergstrom International",Carrier,14
"Greensboro/High Point, NC: Piedmont Triad International","National Air System",14
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,14
"Tulsa, OK: Tulsa International",Weather,14
